,estimate,p.value,statistic,n,gp,Method
LeftAngG_GMV    LeftAngG_CT,0.241427906,0.334476442,0.995149378,19,1,pearson
LeftAngG_GMV    LeftIFG_GMV,-0.116100363,0.646401775,-0.467563356,19,1,pearson
LeftAngG_GMV    LeftIFG_CT,0.197834524,0.431335421,0.807293913,19,1,pearson
LeftAngG_GMV    LeftIFGorb_GMV,-0.281067429,0.25855055,-1.171494995,19,1,pearson
LeftAngG_GMV    LeftIFGorb_CT,-0.059826939,0.813578261,-0.239737182,19,1,pearson
LeftAngG_GMV    LeftMFG_GMV,0.252647075,0.311791282,1.044472552,19,1,pearson
LeftAngG_GMV    LeftMFG_CT,0.375558583,0.124580307,1.620885313,19,1,pearson
LeftAngG_GMV    LeftMidAntTemp_GMV,0.09809945,0.698565602,0.394299658,19,1,pearson
LeftAngG_GMV    LeftMidAntTemp_CT,0.105478635,0.677010384,0.424281365,19,1,pearson
LeftAngG_GMV    LeftMidPostTemp_GMV,0.327284459,0.184929372,1.385439736,19,1,pearson
LeftAngG_GMV    LeftMidPostTemp_CT,0.273640063,0.271876923,1.13799506,19,1,pearson
LeftAngG_GMV    LeftPostTemp_GMV,0.485012343,0.041338656,2.218448448,19,1,pearson
LeftAngG_GMV    LeftPostTemp_CT,0.47261441,0.047634358,2.145153122,19,1,pearson
LeftAngG_GMV    RightMidAntTemp_GMV,0.470793789,0.048616841,2.134530456,19,1,pearson
LeftAngG_GMV    RightMidAntTemp_CT,-0.003639008,0.988566265,-0.014556127,19,1,pearson
LeftAngG_GMV    RightMidPostTemp_GMV,0.237706945,0.342206608,0.978885658,19,1,pearson
LeftAngG_GMV    RightMidPostTemp_CT,0.373522917,0.126800663,1.610670464,19,1,pearson
LeftAngG_GMV    SSL_accuracy,-0.05786323,0.819600383,-0.231841366,19,1,pearson
LeftAngG_GMV    mean_rt,0.090342949,0.721461709,0.362855616,19,1,pearson
LeftAngG_GMV    scaled_rt_slope,-0.06795,0.788776175,-0.272429657,19,1,pearson
LeftAngG_GMV    TSL_subj_corr,0.311442871,0.208371689,1.310972881,19,1,pearson
LeftAngG_GMV    VSL_subj_corr,-0.030885594,0.903170322,-0.123601345,19,1,pearson
LeftAngG_GMV    LSL_subj_corr,-0.275144208,0.269144528,-1.144761218,19,1,pearson
LeftAngG_GMV    eTIV,0.739051725,0.000458193,4.388351041,19,1,pearson
LeftAngG_CT    LeftAngG_GMV,0.241427906,0.334476442,0.995149378,19,1,pearson
LeftAngG_CT    LeftIFG_GMV,0.042229254,0.867862244,0.169067833,19,1,pearson
LeftAngG_CT    LeftIFG_CT,0.166817103,0.508230478,0.676751147,19,1,pearson
LeftAngG_CT    LeftIFGorb_GMV,-0.356433998,0.146543294,-1.525960294,19,1,pearson
LeftAngG_CT    LeftIFGorb_CT,0.000786275,0.997529458,0.003145099,19,1,pearson
LeftAngG_CT    LeftMFG_GMV,-0.090030152,0.722389934,-0.361589006,19,1,pearson
LeftAngG_CT    LeftMFG_CT,0.528495202,0.024147691,2.490152488,19,1,pearson
LeftAngG_CT    LeftMidAntTemp_GMV,-0.483812109,0.041918734,-2.211278091,19,1,pearson
LeftAngG_CT    LeftMidAntTemp_CT,-0.009847906,0.969063995,-0.039393534,19,1,pearson
LeftAngG_CT    LeftMidPostTemp_GMV,0.02137244,0.932917389,0.085509291,19,1,pearson
LeftAngG_CT    LeftMidPostTemp_CT,0.120468346,0.63396634,0.485408531,19,1,pearson
LeftAngG_CT    LeftPostTemp_GMV,-0.064554006,0.799123057,-0.258755732,19,1,pearson
LeftAngG_CT    LeftPostTemp_CT,0.43477329,0.071375843,1.93116716,19,1,pearson
LeftAngG_CT    RightMidAntTemp_GMV,0.338682766,0.169196553,1.43982375,19,1,pearson
LeftAngG_CT    RightMidAntTemp_CT,0.064781451,0.798429063,0.25967125,19,1,pearson
LeftAngG_CT    RightMidPostTemp_GMV,0.027952331,0.91233116,0.111853032,19,1,pearson
LeftAngG_CT    RightMidPostTemp_CT,0.415577596,0.086318768,1.827602948,19,1,pearson
LeftAngG_CT    SSL_accuracy,0.03919433,0.87728811,0.156897878,19,1,pearson
LeftAngG_CT    mean_rt,0.265694039,0.286594717,1.102399245,19,1,pearson
LeftAngG_CT    scaled_rt_slope,0.058574976,0.817416538,0.234702886,19,1,pearson
LeftAngG_CT    TSL_subj_corr,-0.359241116,0.14316319,-1.539750873,19,1,pearson
LeftAngG_CT    VSL_subj_corr,0.151158187,0.549355362,0.611660985,19,1,pearson
LeftAngG_CT    LSL_subj_corr,-0.479889322,0.043858021,-2.187955952,19,1,pearson
LeftAngG_CT    eTIV,-1.000000002,NA,NA,19,1,pearson
LeftIFG_GMV    LeftAngG_GMV,-0.116100363,0.646401775,-0.467563356,19,1,pearson
LeftIFG_GMV    LeftAngG_CT,0.042229254,0.867862244,0.169067833,19,1,pearson
LeftIFG_GMV    LeftIFG_CT,0.48543175,0.041137408,2.220957894,19,1,pearson
LeftIFG_GMV    LeftIFGorb_GMV,0.590795683,0.009830565,2.929004231,19,1,pearson
LeftIFG_GMV    LeftIFGorb_CT,0.586793665,0.010469441,2.898689475,19,1,pearson
LeftIFG_GMV    LeftMFG_GMV,0.410673594,0.090476549,1.801629776,19,1,pearson
LeftIFG_GMV    LeftMFG_CT,0.471260147,0.048363726,2.137248135,19,1,pearson
LeftIFG_GMV    LeftMidAntTemp_GMV,-0.247787625,0.321501987,-1.023055114,19,1,pearson
LeftIFG_GMV    LeftMidAntTemp_CT,-0.071770039,0.777177459,-0.287822392,19,1,pearson
LeftIFG_GMV    LeftMidPostTemp_GMV,0.196157859,0.435328768,0.800177013,19,1,pearson
LeftIFG_GMV    LeftMidPostTemp_CT,0.000794613,0.997503259,0.003178452,19,1,pearson
LeftIFG_GMV    LeftPostTemp_GMV,0.324321943,0.189173031,1.371417319,19,1,pearson
LeftIFG_GMV    LeftPostTemp_CT,0.230844641,0.356730293,0.949010753,19,1,pearson
LeftIFG_GMV    RightMidAntTemp_GMV,-0.380983775,0.118796787,-1.648242728,19,1,pearson
LeftIFG_GMV    RightMidAntTemp_CT,-0.002757125,0.991337021,-0.01102854,19,1,pearson
LeftIFG_GMV    RightMidPostTemp_GMV,0.152454309,0.545896082,0.617029997,19,1,pearson
LeftIFG_GMV    RightMidPostTemp_CT,0.141908044,0.574322207,0.573435432,19,1,pearson
LeftIFG_GMV    SSL_accuracy,-0.165850041,0.510727249,-0.672716627,19,1,pearson
LeftIFG_GMV    mean_rt,0.18750177,0.456248164,0.763549188,19,1,pearson
LeftIFG_GMV    scaled_rt_slope,-0.514952614,0.02875285,-2.402899737,19,1,pearson
LeftIFG_GMV    TSL_subj_corr,0.222498695,0.374857607,0.912877899,19,1,pearson
LeftIFG_GMV    VSL_subj_corr,0.261085171,0.295349356,1.081864315,19,1,pearson
LeftIFG_GMV    LSL_subj_corr,0.085360081,0.736291614,0.342691089,19,1,pearson
LeftIFG_GMV    eTIV,0.744396309,0.000395561,4.459211412,19,1,pearson
LeftIFG_CT    LeftAngG_GMV,0.197834524,0.431335421,0.807293913,19,1,pearson
LeftIFG_CT    LeftAngG_CT,0.166817103,0.508230478,0.676751147,19,1,pearson
LeftIFG_CT    LeftIFG_GMV,0.48543175,0.041137408,2.220957894,19,1,pearson
LeftIFG_CT    LeftIFGorb_GMV,0.311074607,0.208938697,1.309256544,19,1,pearson
LeftIFG_CT    LeftIFGorb_CT,0.735919398,0.000498621,4.347676407,19,1,pearson
LeftIFG_CT    LeftMFG_GMV,-0.165373326,0.511960161,-0.670728538,19,1,pearson
LeftIFG_CT    LeftMFG_CT,0.474380958,0.046695511,2.155494092,19,1,pearson
LeftIFG_CT    LeftMidAntTemp_GMV,-0.125979699,0.618408271,-0.507965853,19,1,pearson
LeftIFG_CT    LeftMidAntTemp_CT,0.210120742,0.402665696,0.859674827,19,1,pearson
LeftIFG_CT    LeftMidPostTemp_GMV,-0.25293313,0.311225152,-1.045735918,19,1,pearson
LeftIFG_CT    LeftMidPostTemp_CT,-0.091555779,0.717866146,-0.36776776,19,1,pearson
LeftIFG_CT    LeftPostTemp_GMV,0.103711952,0.682150046,0.417097056,19,1,pearson
LeftIFG_CT    LeftPostTemp_CT,0.449269416,0.061428157,2.011512268,19,1,pearson
LeftIFG_CT    RightMidAntTemp_GMV,0.015301764,0.951946738,0.061214224,19,1,pearson
LeftIFG_CT    RightMidAntTemp_CT,0.233821085,0.350388348,0.961949939,19,1,pearson
LeftIFG_CT    RightMidPostTemp_GMV,0.051694629,0.838578794,0.207055361,19,1,pearson
LeftIFG_CT    RightMidPostTemp_CT,0.383009951,0.116686308,1.658510847,19,1,pearson
LeftIFG_CT    SSL_accuracy,-0.196248295,0.435112887,-0.800560694,19,1,pearson
LeftIFG_CT    mean_rt,0.17622785,0.484239526,0.716119093,19,1,pearson
LeftIFG_CT    scaled_rt_slope,-0.225214397,0.368903624,-0.92461157,19,1,pearson
LeftIFG_CT    TSL_subj_corr,0.228277183,0.362252845,0.937872136,19,1,pearson
LeftIFG_CT    VSL_subj_corr,0.018038343,0.943364911,0.072165115,19,1,pearson
LeftIFG_CT    LSL_subj_corr,-0.128659002,0.610899739,-0.518949049,19,1,pearson
LeftIFG_CT    eTIV,0.999999999,1.82E-70,82533.35423,19,1,pearson
LeftIFGorb_GMV    LeftAngG_GMV,-0.281067429,0.25855055,-1.171494995,19,1,pearson
LeftIFGorb_GMV    LeftAngG_CT,-0.356433998,0.146543294,-1.525960294,19,1,pearson
LeftIFGorb_GMV    LeftIFG_GMV,0.590795683,0.009830565,2.929004231,19,1,pearson
LeftIFGorb_GMV    LeftIFG_CT,0.311074607,0.208938697,1.309256544,19,1,pearson
LeftIFGorb_GMV    LeftIFGorb_CT,0.751517687,0.000323411,4.556634487,19,1,pearson
LeftIFGorb_GMV    LeftMFG_GMV,0.121276431,0.631675828,0.488713027,19,1,pearson
LeftIFGorb_GMV    LeftMFG_CT,-0.025188846,0.92097142,-0.100787363,19,1,pearson
LeftIFGorb_GMV    LeftMidAntTemp_GMV,-0.170500709,0.498773365,-0.692137422,19,1,pearson
LeftIFGorb_GMV    LeftMidAntTemp_CT,-0.081751749,0.747086627,-0.328105255,19,1,pearson
LeftIFGorb_GMV    LeftMidPostTemp_GMV,-0.234542728,0.348860519,-0.965091354,19,1,pearson
LeftIFGorb_GMV    LeftMidPostTemp_CT,-0.155101217,0.538862082,-0.628004614,19,1,pearson
LeftIFGorb_GMV    LeftPostTemp_GMV,-0.12812272,0.612399705,-0.516749763,19,1,pearson
LeftIFGorb_GMV    LeftPostTemp_CT,-0.224478258,0.370512284,-0.921428724,19,1,pearson
LeftIFGorb_GMV    RightMidAntTemp_GMV,-0.294275288,0.235880466,-1.231637187,19,1,pearson
LeftIFGorb_GMV    RightMidAntTemp_CT,0.168149985,0.504798733,0.682315137,19,1,pearson
LeftIFGorb_GMV    RightMidPostTemp_GMV,0.06916047,0.785096146,0.277305877,19,1,pearson
LeftIFGorb_GMV    RightMidPostTemp_CT,-0.02777988,0.91287008,-0.111162421,19,1,pearson
LeftIFGorb_GMV    SSL_accuracy,0.081268554,0.748535651,0.326153052,19,1,pearson
LeftIFGorb_GMV    mean_rt,-0.226851829,0.365339492,-0.931697335,19,1,pearson
LeftIFGorb_GMV    scaled_rt_slope,-0.452925795,0.059091361,-2.032086594,19,1,pearson
LeftIFGorb_GMV    TSL_subj_corr,0.21968102,0.381091417,0.900727266,19,1,pearson
LeftIFGorb_GMV    VSL_subj_corr,0.135015619,0.593233979,0.545053273,19,1,pearson
LeftIFGorb_GMV    LSL_subj_corr,0.271529973,0.27573884,1.128518344,19,1,pearson
LeftIFGorb_GMV    eTIV,0.591671857,0.00969496,2.935685167,19,1,pearson
LeftIFGorb_CT    LeftAngG_GMV,-0.059826939,0.813578261,-0.239737182,19,1,pearson
LeftIFGorb_CT    LeftAngG_CT,0.000786275,0.997529458,0.003145099,19,1,pearson
LeftIFGorb_CT    LeftIFG_GMV,0.586793665,0.010469441,2.898689475,19,1,pearson
LeftIFGorb_CT    LeftIFG_CT,0.735919398,0.000498621,4.347676407,19,1,pearson
LeftIFGorb_CT    LeftIFGorb_GMV,0.751517687,0.000323411,4.556634487,19,1,pearson
LeftIFGorb_CT    LeftMFG_GMV,-0.013464705,0.957710577,-0.053863705,19,1,pearson
LeftIFGorb_CT    LeftMFG_CT,0.387107052,0.112500165,1.679359873,19,1,pearson
LeftIFGorb_CT    LeftMidAntTemp_GMV,-0.173625915,0.490816665,-0.705214687,19,1,pearson
LeftIFGorb_CT    LeftMidAntTemp_CT,0.159861211,0.526316937,0.64777556,19,1,pearson
LeftIFGorb_CT    LeftMidPostTemp_GMV,-0.408686262,0.092202176,-1.79115804,19,1,pearson
LeftIFGorb_CT    LeftMidPostTemp_CT,-0.120020285,0.635237731,-0.483576704,19,1,pearson
LeftIFGorb_CT    LeftPostTemp_GMV,-0.200712367,0.424526132,-0.81952666,19,1,pearson
LeftIFGorb_CT    LeftPostTemp_CT,0.171158004,0.497094788,0.694886036,19,1,pearson
LeftIFGorb_CT    RightMidAntTemp_GMV,-0.114136069,0.652023473,-0.459547359,19,1,pearson
LeftIFGorb_CT    RightMidAntTemp_CT,0.157885259,0.531508234,0.639562776,19,1,pearson
LeftIFGorb_CT    RightMidPostTemp_GMV,0.079542777,0.753717496,0.319182454,19,1,pearson
LeftIFGorb_CT    RightMidPostTemp_CT,0.292894535,0.238188909,1.225314613,19,1,pearson
LeftIFGorb_CT    SSL_accuracy,-0.072723379,0.774289731,-0.291665802,19,1,pearson
LeftIFGorb_CT    mean_rt,-0.137062654,0.587590402,-0.553474093,19,1,pearson
LeftIFGorb_CT    scaled_rt_slope,-0.380671683,0.119124248,-1.646663601,19,1,pearson
LeftIFGorb_CT    TSL_subj_corr,0.142866338,0.571713355,0.577388207,19,1,pearson
LeftIFGorb_CT    VSL_subj_corr,0.157842986,0.531619551,0.63938716,19,1,pearson
LeftIFGorb_CT    LSL_subj_corr,0.101130675,0.689683473,0.406607315,19,1,pearson
LeftIFGorb_CT    eTIV,1.000000002,NA,NA,19,1,pearson
LeftMFG_GMV    LeftAngG_GMV,0.252647075,0.311791282,1.044472552,19,1,pearson
LeftMFG_GMV    LeftAngG_CT,-0.090030152,0.722389934,-0.361589006,19,1,pearson
LeftMFG_GMV    LeftIFG_GMV,0.410673594,0.090476549,1.801629776,19,1,pearson
LeftMFG_GMV    LeftIFG_CT,-0.165373326,0.511960161,-0.670728538,19,1,pearson
LeftMFG_GMV    LeftIFGorb_GMV,0.121276431,0.631675828,0.488713027,19,1,pearson
LeftMFG_GMV    LeftIFGorb_CT,-0.013464705,0.957710577,-0.053863705,19,1,pearson
LeftMFG_GMV    LeftMFG_CT,0.353793754,0.149772352,1.513032734,19,1,pearson
LeftMFG_GMV    LeftMidAntTemp_GMV,0.086789539,0.732027958,0.348473059,19,1,pearson
LeftMFG_GMV    LeftMidAntTemp_CT,0.044522865,0.860749915,0.178268237,19,1,pearson
LeftMFG_GMV    LeftMidPostTemp_GMV,0.632690899,0.004834219,3.268012792,19,1,pearson
LeftMFG_GMV    LeftMidPostTemp_CT,0.480369671,0.043616953,2.190802542,19,1,pearson
LeftMFG_GMV    LeftPostTemp_GMV,0.591774287,0.009679206,2.93646725,19,1,pearson
LeftMFG_GMV    LeftPostTemp_CT,0.090460291,0.721113593,0.363330797,19,1,pearson
LeftMFG_GMV    RightMidAntTemp_GMV,0.057083563,0.821994078,0.228707182,19,1,pearson
LeftMFG_GMV    RightMidAntTemp_CT,0.043634321,0.86350405,0.174703675,19,1,pearson
LeftMFG_GMV    RightMidPostTemp_GMV,0.179350316,0.476403966,0.729225455,19,1,pearson
LeftMFG_GMV    RightMidPostTemp_CT,0.180759497,0.472888411,0.735147836,19,1,pearson
LeftMFG_GMV    SSL_accuracy,0.016244668,0.948989207,0.064987248,19,1,pearson
LeftMFG_GMV    mean_rt,-0.208135702,0.407226447,-0.851183769,19,1,pearson
LeftMFG_GMV    scaled_rt_slope,-0.145765928,0.563850703,-0.589358589,19,1,pearson
LeftMFG_GMV    TSL_subj_corr,0.175820784,0.485265647,0.714412112,19,1,pearson
LeftMFG_GMV    VSL_subj_corr,0.011456964,0.964012213,0.045830864,19,1,pearson
LeftMFG_GMV    LSL_subj_corr,-0.124961187,0.621272086,-0.503793667,19,1,pearson
LeftMFG_GMV    eTIV,0.585618479,0.010663232,2.889849493,19,1,pearson
LeftMFG_CT    LeftAngG_GMV,0.375558583,0.124580307,1.620885313,19,1,pearson
LeftMFG_CT    LeftAngG_CT,0.528495202,0.024147691,2.490152488,19,1,pearson
LeftMFG_CT    LeftIFG_GMV,0.471260147,0.048363726,2.137248135,19,1,pearson
LeftMFG_CT    LeftIFG_CT,0.474380958,0.046695511,2.155494092,19,1,pearson
LeftMFG_CT    LeftIFGorb_GMV,-0.025188846,0.92097142,-0.100787363,19,1,pearson
LeftMFG_CT    LeftIFGorb_CT,0.387107052,0.112500165,1.679359873,19,1,pearson
LeftMFG_CT    LeftMFG_GMV,0.353793754,0.149772352,1.513032734,19,1,pearson
LeftMFG_CT    LeftMidAntTemp_GMV,-0.122780091,0.627422214,-0.49486456,19,1,pearson
LeftMFG_CT    LeftMidAntTemp_CT,0.342151891,0.16459393,1.456516089,19,1,pearson
LeftMFG_CT    LeftMidPostTemp_GMV,0.271568829,0.275667421,1.128692695,19,1,pearson
LeftMFG_CT    LeftMidPostTemp_CT,0.493883755,0.037239058,2.271962674,19,1,pearson
LeftMFG_CT    LeftPostTemp_GMV,0.357942453,0.144720159,1.533364983,19,1,pearson
LeftMFG_CT    LeftPostTemp_CT,0.72640136,0.000640269,4.227745033,19,1,pearson
LeftMFG_CT    RightMidAntTemp_GMV,0.270846974,0.276996071,1.125454672,19,1,pearson
LeftMFG_CT    RightMidAntTemp_CT,0.155059089,0.538973714,0.627829833,19,1,pearson
LeftMFG_CT    RightMidPostTemp_GMV,0.344887168,0.161025462,1.469724891,19,1,pearson
LeftMFG_CT    RightMidPostTemp_CT,0.617636867,0.006308813,3.141338078,19,1,pearson
LeftMFG_CT    SSL_accuracy,-0.280915302,0.258819324,-1.170806587,19,1,pearson
LeftMFG_CT    mean_rt,0.189148088,0.452230683,0.770500996,19,1,pearson
LeftMFG_CT    scaled_rt_slope,-0.190434814,0.449103323,-0.775939061,19,1,pearson
LeftMFG_CT    TSL_subj_corr,-0.126169763,0.617874434,-0.508744601,19,1,pearson
LeftMFG_CT    VSL_subj_corr,0.083794814,0.740968769,0.33636223,19,1,pearson
LeftMFG_CT    LSL_subj_corr,-0.094510822,0.709129325,-0.379743079,19,1,pearson
LeftMFG_CT    eTIV,1.000000001,NA,NA,19,1,pearson
LeftMidAntTemp_GMV    LeftAngG_GMV,0.09809945,0.698565602,0.394299658,19,1,pearson
LeftMidAntTemp_GMV    LeftAngG_CT,-0.483812109,0.041918734,-2.211278091,19,1,pearson
LeftMidAntTemp_GMV    LeftIFG_GMV,-0.247787625,0.321501987,-1.023055114,19,1,pearson
LeftMidAntTemp_GMV    LeftIFG_CT,-0.125979699,0.618408271,-0.507965853,19,1,pearson
LeftMidAntTemp_GMV    LeftIFGorb_GMV,-0.170500709,0.498773365,-0.692137422,19,1,pearson
LeftMidAntTemp_GMV    LeftIFGorb_CT,-0.173625915,0.490816665,-0.705214687,19,1,pearson
LeftMidAntTemp_GMV    LeftMFG_GMV,0.086789539,0.732027958,0.348473059,19,1,pearson
LeftMidAntTemp_GMV    LeftMFG_CT,-0.122780091,0.627422214,-0.49486456,19,1,pearson
LeftMidAntTemp_GMV    LeftMidAntTemp_CT,0.460506677,0.054459133,2.075157731,19,1,pearson
LeftMidAntTemp_GMV    LeftMidPostTemp_GMV,0.352818947,0.150976835,1.508270214,19,1,pearson
LeftMidAntTemp_GMV    LeftMidPostTemp_CT,0.231910403,0.354452003,0.953640571,19,1,pearson
